id,a0,1,a2,a3,a4
cero,13.5405,94.0526,38.2196,0,-1
cero,11.7678,94.6745,37.8756,0,-1
cero,13.2162,87.0977,34.7601,0,-1
cero,13.9286,356.924,31.4464,0,-1
cero,12.6658,164.001,34.262,0,-1
cero,14.4375,16.1264,43.6406,0,-1
cero,13.588,317.765,36.6825,0,-1
cero,14.0625,349.924,36.8906,0,-1
cero,12.8049,91.5015,35.3689,0,-1
cero,12.7714,28.9022,31.2893,0,-1
cero,14.04,80.4309,31.445,0,-1
cero,10.3125,172.293,31.2656,0,-1
cero,11.9455,238.255,31.0023,0,-1
cero,13.5,298.845,35.875,0,-1
cero,11.449,308.481,36.2066,0,-1
cero,13.2,144.69,31.6,0,-1
cero,11,160.325,30.5417,0,-1
cero,12.8824,291.908,64.5515,0,-1
cero,13.3448,94.7721,36.7285,0,-1
cero,12.7913,233.463,31.8582,0,-1
cero,12.84,273.273,33.245,0,-1
cero,13.0588,21.4118,34.5294,0,-1
cero,12.6585,22.6469,43.2469,0,-1
cero,13.4348,258.453,30.6576,0,-1
cero,11.4444,339.936,36.1157,0,-1
cero,11.8,30.6205,35.025,0,-1
cero,15,78.6709,32.125,0,-1
cero,14.6667,179.666,32.7778,0,-1
cero,13.1538,141.885,33.4808,0,-1
cero,13.8165,141.671,33.8248,0,-1
cero,11.3684,87.65,33.2105,0,-1
cero,13.6875,30.4326,40.2656,0,-1
cero,14.5385,18.2071,32.3269,0,-1
cero,14.7083,20.0409,33.5006,0,-1
cero,13.5902,26.4496,35.1721,0,-1
cero,12.7059,176.822,32.2353,0,-1
cero,14.15,308.252,34.87,0,-1
cero,11.9231,337.613,35.0032,0,-1
cero,12.3529,220.612,30.0588,0,-1
cero,12.0811,202.131,32.0034,0,-1
cero,13.7638,133.316,50.0221,0,-1
cero,13.7273,46.9109,36.3674,0,-1
cero,11.9333,68.2859,33.0028,0,-1
cero,11.8696,46.1805,31.0109,0,-1
cero,12.3,341.813,33.05,0,-1
cero,13.9264,0.0824294,42.5372,0,-1
cero,12.4286,217.985,35.0893,0,-1
cero,14.965,194.775,36.3336,0,-1
cero,11.5424,295.492,41.1716,0,-1
cero,11.85,0.702066,30.0125,0,-1
cero,13.4586,219.435,33.7158,0,-1
cero,14.7931,161.558,38.1422,0,-1
cero,12.2195,289.216,43.0274,0,-1
cero,12.3,90.5267,35.05,0,-1
cero,12.2195,98.8723,32.0274,0,-1
cero,13.568,25.6298,41.2559,0,-1
cero,11.8534,258.914,45.4751,0,-1
cero,11.5714,220.805,37.1429,0,-1
cero,12.871,183.154,36.3266,0,-1
cero,13.6511,47.2152,38.0688,0,-1
cero,12.5455,280.973,39.1818,0,-1
cero,13.7143,176.979,31.1429,0,-1
cero,13.2806,187.106,37.8697,0,-1
cero,12.4054,353.854,34.0845,0,-1
cero,14.2327,34.4915,33.7673,0,-1
cero,12.1667,191.618,34.0139,0,-1
cero,12.931,26.0108,47.6983,0,-1
cero,11.7907,320.656,36.0262,0,-1
cero,13.9979,18.5926,32.4642,0,-1
cero,13.1967,193.386,32.6394,0,-1
cero,11.5714,222.987,37.1071,0,-1
cero,12.7763,214.053,36.266,0,-1
cero,17.4372,278.83,40.8399,0,-1
cero,13.2222,168.994,30.5602,0,-1
cero,14.1989,39.3659,40.8541,0,-1
cero,8.4,216.509,36.56,0,-1
cero,11,168.9,30.2917,0,-1
cero,12.2609,121.645,38.0435,0,-1
cero,13.2632,268.645,46.8421,0,-1
cero,12.7143,130.721,31.1488,0,-1
cero,11.7568,182.112,32.0304,0,-1
cero,11.6939,257.498,31.0638,0,-1
cero,12.125,262.245,31.0104,0,-1
cero,11.6667,306.983,37.0694,0,-1
cero,15.2069,193.743,49.1422,0,-1
cero,13.0714,201.427,30.4464,0,-1
cero,13.5875,140.78,31.9614,0,-1
cero,13.95,139.57,44.1125,0,-1
cero,13.9304,260.69,39.6376,0,-1
cero,15.1631,46.6636,34.8409,0,-1
cero,12.1071,299.479,33.0089,0,-1
cero,14.168,104.662,36.5156,0,-1
cero,13.4727,183.615,51.6568,0,-1
cero,10.8947,206.467,32.6447,0,-1
cero,13.5,160.736,44,0,-1
cero,11.1818,34.4745,31.4091,0,-1
cero,13.1505,24.2672,30.6328,0,-1
cero,13.7143,213.899,50.7143,0,-1
cero,12.2727,243.316,30.0341,0,-1
cero,12.8824,178.508,35.3676,0,-1
cero,13.4247,190.537,35.1834,0,-1
cero,12.6585,264.464,31.2469,0,-1
cero,10.5556,124.635,43.7824,0,-1
cero,11.5385,273.768,35.1539,0,-1
cero,12.0811,180.391,34.0034,0,-1
cero,12.6207,227.437,66.3103,0,-1
cero,11.9118,251.829,50.0074,0,-1
cero,10.9615,254.308,37.7789,0,-1
cero,10.9412,133.358,52.0588,0,-1
cero,11.169,242.439,56.4169,0,-1
cero,12.5385,142.692,35.1571,0,-1
cero,13.5517,41.3797,31.9698,0,-1
cero,11.9091,137.797,30.0038,0,-1
cero,12,120.568,31,0,-1
cero,12.9561,300.065,30.3851,0,-1
cero,15.3921,301.558,38.9001,0,-1
cero,12,328.951,33,0,-1
cero,12.8457,241.241,40.372,0,-1
cero,11.7273,99.467,43.0227,0,-1
cero,12.5714,211.626,30.1905,0,-1
cero,15,228.723,33,0,-1
cero,12.88,264.75,57.0999,0,-1
cero,13.8649,31.7577,46.7872,0,-1
cero,11.9422,259.733,53.4633,0,-1
cero,12.2632,147.247,42.0548,0,-1
cero,13.7654,215.466,45.3107,0,-1
cero,12.0638,6.46918,33.0027,0,-1
cero,13.5,304.323,35.875,0,-1
cero,13.2397,294.52,51.1479,0,-1
cero,14.8153,229.891,35.3851,0,-1
cero,11.8636,90.4988,35.0114,0,-1
cero,13.2857,263.323,30.6429,0,-1
cero,13.0364,201.846,51.8205,0,-1
cero,11.2857,113.766,43.4464,0,-1
cero,11.3684,110.911,30.2105,0,-1
cero,12.45,262.967,33.1125,0,-1
cero,13.5571,356.332,40.5642,0,-1
cero,11.875,244.475,33.0104,0,-1
cero,12.5745,224.726,40.2154,0,-1
cero,12.8029,318.836,32.3249,0,-1
cero,13.0999,4.28268,39.6122,0,-1
cero,12.404,228.479,30.0879,0,-1
cero,12.3502,295.843,42.0579,0,-1
cero,15.0819,295.621,48.2947,0,-1
cero,10.3636,301.054,30.8182,0,-1
cero,12.7333,235.257,75.3361,0,-1
cero,14.7391,254.97,33.3967,0,-1
cero,14.6485,157.068,48.5346,0,-1
cero,13.0305,162.061,31.7675,0,-1
cero,14.4857,20.4601,49.0036,0,-1
cero,12.5294,100.829,54.1985,0,-1
cero,13.3853,176.781,31.8023,0,-1
cero,14.6,237.252,33.4083,0,-1
cero,12.3145,179.531,34.4103,0,-1
cero,15.828,24.0666,34.9346,0,-1
cero,14.8633,27.6248,35.6801,0,-1
cero,12.6244,302.308,56.2689,0,-1
cero,10.1538,261.242,32.2308,0,-1
cero,11.8085,261.025,33.0239,0,-1
cero,12.5294,260.586,31.0662,0,-1
cero,14.5218,179.038,39.3994,0,-1
cero,13.3077,179.538,34.9263,0,-1
cero,14.1104,208.306,36.779,0,-1
cero,13.1386,278.175,35.5743,0,-1
cero,10.5,22.5882,31.875,0,-1
cero,12.6301,189.816,57.0682,0,-1
cero,12.7059,149.294,34.2353,0,-1
cero,12.7426,260.686,32.1719,0,-1
cero,15,181.14,36.125,0,-1
cero,11.2667,229.24,30.3361,0,-1
cero,10.9565,226.098,51.6957,0,-1
cero,12.6774,275.898,31.1976,0,-1
cero,12.7972,181.699,31.3185,0,-1
cero,12.1432,267.284,31.9563,0,-1
cero,14.2874,275.802,33.5646,0,-1
cero,11.4878,293.479,30.1494,0,-1
cero,15,269.699,38.125,0,-1
cero,15.5077,15.1726,35.9921,0,-1
cero,11.2759,190.488,45.2112,0,-1
cero,12.0968,78.1987,34.004,0,-1
cero,9.68571,221.569,33.6036,0,-1
cero,12.4286,343.924,35.1071,0,-1
cero,11.25,185.99,32.1875,0,-1
cero,13.9091,199.779,32.1136,0,-1
cero,13.3636,108.524,34.8523,0,-1
cero,9.55814,190.875,43.561,0,-1
cero,12.4737,284.185,34.1184,0,-1
cero,13.125,31.5068,31.5625,0,-1
cero,15.6273,268.181,38.467,0,-1
cero,14.1923,153.428,32.5427,0,-1
cero,11.2703,282.398,38.2737,0,-1
cero,11.3077,270.953,35.3461,0,-1
cero,13.5366,153.819,38.3445,0,-1
cero,14.9109,62.7455,34.0171,0,-1
cero,11.7568,178.485,55.0608,0,-1
cero,14.1111,134.94,37.6713,0,-1
cero,12.2195,259.677,41.0274,0,-1
cero,12.4286,153.337,39.1071,0,-1
cero,11.7458,281.915,39.053,0,-1
cero,13.5585,181.936,51.2406,0,-1
cero,11.1081,36.2333,32.4088,0,-1
cero,11.8235,247.828,33.0147,0,-1
cero,13.7143,261.945,36.1429,0,-1
cero,13.0976,186.659,39.686,0,-1
cero,12.6364,167.563,31.1856,0,-1
cero,13.3017,73.8247,33.5987,0,-1
cero,13.875,293.106,33.7813,0,-1
cero,12.2647,29.0126,61.0662,0,-1
cero,13,297.826,32.5417,0,-1
cero,14.04,215.284,31.445,0,-1
cero,13.6667,211.404,36.0417,0,-1
cero,12.7895,63.9844,30.3289,0,-1
cero,12.0811,27.1381,35.0034,0,-1
cero,12.6,177.218,33.15,0,-1
cero,12.6105,18.4104,38.8938,0,-1
cero,12.1765,150.3,36.0147,0,-1
cero,11.7085,55.434,66.0418,0,-1
cero,14.6676,51.6677,37.1628,0,-1
cero,15.7771,322.748,33.3331,0,-1
cero,11.9063,84.95,45.0078,0,-1
cero,12.8824,121.324,49.5515,0,-1
cero,11.7,318.643,44.025,0,-1
cero,12.6667,92.9673,31.2222,0,-1
cero,11.6138,332.225,62.0456,0,-1
cero,13.9655,239.234,34.556,0,-1
cero,12.9512,101.701,67.5153,0,-1
cero,11.7384,69.5023,32.7319,0,-1
cero,12.7826,313.646,58.3913,0,-1
cero,11.5714,107.108,41.125,0,-1
cero,12.5122,197.892,35.1494,0,-1
